Rating,Datadate,Content,Words,BOW,Sentiment Score
5.0,2020-01-04,Awesome item,"['awesome', 'item']","{'awesome': 1, 'item': 1}",1.0
5.0,2020-01-04,Very happy satisfied son.,"['happy', 'satisfied', 'son']","{'happy': 1, 'satisfied': 1, 'son': 1}",0.75
5.0,2020-01-04,Came just as planned for Grandson for Christmas... He just loves it much. Thank You,"['came', 'planned', 'grandson', 'christmas', 'love', 'much', 'thank']","{'thank': 1, 'grandson': 1, 'came': 1, 'planned': 1, 'love': 1, 'much': 1, 'christmas': 1}",0.2
5.0,2020-01-04,This IS the new one. Fantastic console. And I’m obsessed with Breath of the Wild right now.,"['new', 'one', 'fantastic', 'console', 'obsessed', 'breath', 'wild', 'right']","{'breath': 1, 'right': 1, 'obsessed': 1, 'fantastic': 1, 'one': 1, 'console': 1, 'new': 1, 'wild': 1}",0.08441558441558442
4.0,2020-01-04,"Came with everything, packaged nicely, console and games run great, but my right joycon the the very top bumper makes a very metallic noise rather then a nice clean click. Didn’t really notice it till later when I was just listening to the button noises.","['came', 'everything', 'packaged', 'nicely', 'console', 'game', 'run', 'great', 'right', 'joycon', 'top', 'bumper', 'make', 'metallic', 'noise', 'rather', 'nice', 'clean', 'click', 'really', 'notice', 'till', 'later', 'listening', 'button', 'noise']","{'run': 1, 'nicely': 1, 'noise': 2, 'really': 1, 'came': 1, 'bumper': 1, 'game': 1, 'button': 1, 'nice': 1, 'great': 1, 'right': 1, 'top': 1, 'metallic': 1, 'clean': 1, 'joycon': 1, 'rather': 1, 'notice': 1, 'later': 1, 'everything': 1, 'listening': 1, 'make': 1, 'packaged': 1, 'click': 1, 'console': 1, 'till': 1}",0.4113756613756614
5.0,2020-01-04,We got the Nintendo Switch as a Christmas gift for our girls and they’ve loved it.  Once we realized that there was a first and second generation we are glad to have spent the extra money to get the second generation because a longer battery life is definitely worth it.,"['got', 'nintendo', 'switch', 'christmas', 'gift', 'girl', 'loved', 'realized', 'first', 'second', 'generation', 'glad', 'spent', 'extra', 'money', 'get', 'second', 'generation', 'longer', 'battery', 'life', 'definitely', 'worth']","{'nintendo': 1, 'life': 1, 'realized': 1, 'spent': 1, 'generation': 2, 'extra': 1, 'glad': 1, 'christmas': 1, 'first': 1, 'money': 1, 'gift': 1, 'switch': 1, 'second': 2, 'battery': 1, 'girl': 1, 'get': 1, 'worth': 1, 'got': 1, 'definitely': 1, 'longer': 1, 'loved': 1}",0.20625
5.0,2020-01-05,"It's as you would expect another lovely console by Nintendo. It's great for family and friend gatherings but is also fun for solo play. The downside that differs from other consoles is the little space it has, I recommend buying a SD card when you buy the console. The little space does make sense though, since a lot of the games dont take up much space at all.","['would', 'expect', 'another', 'lovely', 'console', 'nintendo', 'great', 'family', 'friend', 'gathering', 'also', 'fun', 'solo', 'play', 'downside', 'differs', 'console', 'little', 'space', 'recommend', 'buying', 'sd', 'card', 'buy', 'console', 'little', 'space', 'make', 'sense', 'though', 'since', 'lot', 'game', 'dont', 'take', 'much', 'space']","{'lot': 1, 'nintendo': 1, 'take': 1, 'though': 1, 'recommend': 1, 'solo': 1, 'game': 1, 'space': 3, 'great': 1, 'differs': 1, 'buying': 1, 'sd': 1, 'downside': 1, 'sense': 1, 'little': 2, 'play': 1, 'lovely': 1, 'also': 1, 'gathering': 1, 'dont': 1, 'much': 1, 'another': 1, 'friend': 1, 'fun': 1, 'since': 1, 'family': 1, 'make': 1, 'expect': 1, 'buy': 1, 'console': 3, 'would': 1, 'card': 1}",0.18571428571428572
5.0,2020-01-05,I use it to play and have fun. I like that it keeps me occupied. I like everything about it. - my 9 year old.,"['use', 'play', 'fun', 'like', 'keep', 'occupied', 'like', 'everything', 'year', 'old']","{'occupied': 1, 'old': 1, 'like': 2, 'use': 1, 'keep': 1, 'everything': 1, 'year': 1, 'fun': 1, 'play': 1}",0.2
1.0,2020-01-05,"I bought a ""like new"" Switch from Amazon Warehouse that was missing parts and the console itself did not work. Immediately returned.","['bought', 'like', 'new', 'switch', 'amazon', 'warehouse', 'missing', 'part', 'console', 'work', 'immediately', 'returned']","{'part': 1, 'like': 1, 'amazon': 1, 'warehouse': 1, 'returned': 1, 'switch': 1, 'new': 1, 'console': 1, 'bought': 1, 'work': 1, 'missing': 1, 'immediately': 1}",-0.03181818181818183
5.0,2020-01-05,"My son loved it! We have a regular switch for our 11 year old, and we bought the lite for the 4 year old. So now there is less fighting. So far so good!","['son', 'loved', 'regular', 'switch', 'year', 'old', 'bought', 'lite', 'year', 'old', 'le', 'fighting', 'far', 'good']","{'old': 2, 'far': 1, 'switch': 1, 'regular': 1, 'year': 2, 'bought': 1, 'good': 1, 'lite': 1, 'fighting': 1, 'le': 1, 'loved': 1, 'son': 1}",0.26904761904761904
1.0,2020-01-05,Had to return the unit 2 times now the dock won't display a image on the TV. Hoping they get it fixed this time,"['return', 'unit', 'time', 'dock', 'wo', 'display', 'image', 'tv', 'hoping', 'get', 'fixed', 'time']","{'image': 1, 'fixed': 1, 'tv': 1, 'get': 1, 'dock': 1, 'unit': 1, 'display': 1, 'hoping': 1, 'return': 1, 'wo': 1, 'time': 2}",0.1
5.0,2020-01-05,It’s really convenient to be able to play blockbuster games anywhere you find yourself. I highly recommend this mobile gaming system,"['really', 'convenient', 'able', 'play', 'blockbuster', 'game', 'anywhere', 'find', 'highly', 'recommend', 'mobile', 'gaming', 'system']","{'highly': 1, 'really': 1, 'able': 1, 'blockbuster': 1, 'mobile': 1, 'recommend': 1, 'find': 1, 'system': 1, 'convenient': 1, 'game': 1, 'play': 1, 'gaming': 1, 'anywhere': 1}",0.2866666666666667
4.0,2020-01-05,"The switch lite is a great product, but the majority of the switch lites out right now has a slight joycon drift. The left stick on mine has a slight drift when I push it to the right. Its mildly annoying, but not enough that I'd send my system for repair.  Has enough battery life to play on the go and the internal memory is enough to hold multiple downloaded games before having to buy an sd card. Overall, its a great product.","['switch', 'lite', 'great', 'product', 'majority', 'switch', 'lites', 'right', 'slight', 'joycon', 'drift', 'left', 'stick', 'mine', 'slight', 'drift', 'push', 'right', 'mildly', 'annoying', 'enough', 'send', 'system', 'repair', 'enough', 'battery', 'life', 'play', 'go', 'internal', 'memory', 'enough', 'hold', 'multiple', 'downloaded', 'game', 'buy', 'sd', 'card', 'overall', 'great', 'product']","{'multiple': 1, 'repair': 1, 'life': 1, 'mildly': 1, 'enough': 3, 'game': 1, 'left': 1, 'great': 2, 'right': 2, 'hold': 1, 'stick': 1, 'drift': 2, 'sd': 1, 'mine': 1, 'internal': 1, 'play': 1, 'joycon': 1, 'slight': 2, 'lites': 1, 'switch': 2, 'push': 1, 'system': 1, 'go': 1, 'majority': 1, 'battery': 1, 'downloaded': 1, 'overall': 1, 'memory': 1, 'send': 1, 'buy': 1, 'annoying': 1, 'product': 2, 'lite': 1, 'card': 1}",0.0741496598639456
